"","НазваПС","substance","lat","lon","valueType","value"
"147","оз. Катлабух, 0 км, ГНС Кірова","ФосфатІониМгДм3",45.461944,29.051342,"mean",0.0701428571428571
"148","оз. Катлабух, 0 км, ГНС Кірова","ХімічнеСпоживанняКиснюМгОДм3",45.461944,29.051342,"mean",123.516666666667
"149","оз. Катлабух, 0 км, ГНС Кірова","ХлоридІониМгДм3",45.461944,29.051342,"mean",424.128571428571
"150","оз. Катлабух, 0 км, Суворовська ГНС","АзотЗагальнийМгДм3",45.577364,28.954722,"mean",2.15
"151","оз. Катлабух, 0 км, Суворовська ГНС","АмонійІониМгДм3",45.577364,28.954722,"mean",0.308933333333333
"152","оз. Катлабух, 0 км, Суворовська ГНС","БСК5МгОДм3",45.577364,28.954722,"mean",6.91634615384615
"153","оз. Катлабух, 0 км, Суворовська ГНС","ЗависліРечовиниМгДм3",45.577364,28.954722,"mean",66.6428571428571
"154","оз. Катлабух, 0 км, Суворовська ГНС","КисеньРозчиненийМгО2Дм3",45.577364,28.954722,"mean",8.29615384615385
"155","оз. Катлабух, 0 км, Суворовська ГНС","НітратІониМгДм3",45.577364,28.954722,"mean",20.9352549019608
"156","оз. Катлабух, 0 км, Суворовська ГНС","НітритІониМгДм3",45.577364,28.954722,"mean",0.028847619047619
"157","оз. Катлабух, 0 км, Суворовська ГНС","ПерманганатнаОкислюваністьМгОДм3",45.577364,28.954722,"mean",13.2960784313725
"158","оз. Катлабух, 0 км, Суворовська ГНС","СинтетичніПоверхневоАктивніРечовиниМгДм3",45.577364,28.954722,"mean",0.0492115384615385
"159","оз. Катлабух, 0 км, Суворовська ГНС","СульфатІониМгДм3",45.577364,28.954722,"mean",719.429126213592
"160","оз. Катлабух, 0 км, Суворовська ГНС","ФосфатІониМгДм3",45.577364,28.954722,"mean",0.0604190476190476
"161","оз. Катлабух, 0 км, Суворовська ГНС","ХімічнеСпоживанняКиснюМгОДм3",45.577364,28.954722,"mean",104.447826086957
"162","оз. Катлабух, 0 км, Суворовська ГНС","ХлоридІониМгДм3",45.577364,28.954722,"mean",727.436893203884
